month,category,area_code,area_name,n,population,rate
2017-12-01,Robbery,E05000819,Altrincham,6,12521,0.5
2017-12-01,Robbery,E05000826,Davyhulme East,5,9739,0.5
2017-12-01,Robbery,E05000829,Gorse Hill,6,12422,0.5
2017-12-01,Robbery,E05000821,Bowdon,2,9536,0.2
2017-12-01,Robbery,E05000825,Clifford,3,12199,0.2
2017-12-01,Robbery,E05000832,Longford,3,12304,0.2
2017-12-01,Robbery,E05000833,Priory,2,11426,0.2
2017-12-01,Robbery,E05000827,Davyhulme West,1,10042,0.1
2017-12-01,Robbery,E05000828,Flixton,1,10804,0.1
2017-12-01,Robbery,E05000831,Hale Central,1,10767,0.1
2017-12-01,Robbery,E05000834,St Mary's,1,11895,0.1
2017-12-01,Robbery,E05000836,Stretford,1,11451,0.1
2017-12-01,Robbery,E05000837,Timperley,1,11242,0.1
2017-12-01,Robbery,E05000838,Urmston,1,11447,0.1
2017-12-01,Robbery,E05000839,Village,1,10912,0.1
2017-12-01,Robbery,E08000009,Trafford,35,234673,0.1
2017-12-01,Robbery,E47000001,Greater Manchester,625,2782141,0.2
