month,observed,trend
2014-12-01,184,228.32357576998626
2015-01-01,192,231.76407168371293
2015-02-01,179,235.20456759743956
2015-03-01,214,238.34369014313108
2015-04-01,288,241.48281268882263
2015-05-01,303,244.59042155051958
2015-06-01,253,247.69803041221653
2015-07-01,295,250.89663861482285
2015-08-01,247,254.0952468174292
2015-09-01,241,255.75873789196294
2015-10-01,296,257.4222289664967
2015-11-01,242,257.39092916806726
2015-12-01,244,257.3596293696378
2016-01-01,236,258.42261031996077
2016-02-01,233,259.48559127028375
2016-03-01,240,263.94463775011786
2016-04-01,271,268.4036842299519
2016-05-01,290,277.56455137301896
2016-06-01,248,286.72541851608594
2016-07-01,281,299.78406723899684
2016-08-01,285,312.8427159619077
2016-09-01,316,328.5310694728736
2016-10-01,369,344.21942298383954
2016-11-01,405,361.8362375561788
2016-12-01,373,379.45305212851804
2017-01-01,414,397.35714295376897
2017-02-01,348,415.26123377901996
2017-03-01,467,427.28264855701445
2017-04-01,426,439.30406333500895
2017-05-01,426,450.149783812823
2017-06-01,520,460.995504290637
2017-07-01,554,471.4895768556662
2017-08-01,450,481.98364942069543
2017-09-01,522,492.0890161945141
2017-10-01,497,502.1943829683327
2017-11-01,507,511.91989666383347
